#{"t_start": 1610446047.8325937, "env_id": null}
r,l,t
-0.262271,4,0.341888
0.111395,4,0.433447
0.087343,4,0.528713
0.018699,4,0.622515
0.241781,4,0.719622
-0.156494,4,0.816803
0.35219,4,0.910044
0.536172,4,1.010168
0.710175,4,1.107032
0.689433,4,1.203641
0.88392,4,1.297484
0.906806,4,1.395717
1.006749,4,1.494973
1.053978,4,1.590831
0.518447,4,1.686737
0.993804,4,1.779067
1.161415,4,1.87164
1.449377,4,1.961441
1.27497,4,2.048965
1.470333,4,2.143583
1.214039,4,2.235834
1.383637,4,2.328532
1.546304,4,2.424583
1.4359,4,2.519988
1.817932,4,2.612051
1.884244,4,2.712977
1.514512,4,2.808853
1.688588,4,2.906366
1.747893,4,3.004198
1.63552,4,3.09759
2.14277,4,3.189967
2.131524,4,3.298381
1.769504,4,3.391579
1.708477,4,3.488653
2.004023,4,3.585147
2.141938,4,3.682403
2.00603,4,3.77561
2.109157,4,3.866624
2.018957,4,3.958567
1.702022,4,4.050626
2.038704,4,4.141979
1.442023,4,4.232507
1.472011,4,4.327791
1.663103,4,4.423979
1.969837,4,4.515858
1.839061,4,4.608414
1.783169,4,4.704729
2.045227,4,4.795909
1.979297,4,4.88764
1.686819,4,4.980842
2.076584,4,5.076842
1.848009,4,5.167896
2.0298,4,5.25951
1.72049,4,5.350893
1.828598,4,5.441643
1.998488,4,5.536412
1.906251,4,5.624593
2.089873,4,5.723625
2.060467,4,5.818166
2.080838,4,5.904793
1.714059,4,5.999764
1.935111,4,6.088515
2.089698,4,6.179426
1.826255,4,6.270107
2.146748,4,6.361101
2.005331,4,6.455105
1.129912,4,6.548668
1.671753,4,6.645508
1.708517,4,6.744428
1.757051,4,6.845098
2.051596,4,6.948597
2.00401,4,7.049376
2.164346,4,7.159157
2.345076,4,7.275136
1.985856,4,7.386828
2.162856,4,7.489477
2.20775,4,7.600909
2.225189,4,7.719867
2.237071,4,7.845443
2.258112,4,7.946562
2.327651,4,8.051365
1.828471,4,8.167631
2.114614,4,8.26685
1.97546,4,8.360474
2.201906,4,8.454314
2.243135,4,8.555713
1.923723,4,9.059031
1.883163,4,9.168153
1.830629,4,9.275257
2.002834,4,9.381662
2.228003,4,9.48915
1.885905,4,9.606047
1.822405,4,9.710626
2.303927,4,9.808458
2.346235,4,9.90747
2.101372,4,9.998148
1.765031,4,10.099433
1.927967,4,10.195263
2.122767,4,10.295002
2.084597,4,10.409431
2.433442,4,10.515635
1.91812,4,10.614431
1.844004,4,10.711725
2.187019,4,10.807372
2.347094,4,10.903553
2.231671,4,10.999651
2.218537,4,11.103458
2.118091,4,11.202636
1.992167,4,11.300875
2.098051,4,11.402524
1.904832,4,11.497166
2.259227,4,11.595117
2.140863,4,11.689147
2.371419,4,11.804958
2.458574,4,11.924959
2.241462,4,12.041759
2.110722,4,12.150203
2.196987,4,12.265472
2.171353,4,12.374188
2.213297,4,12.493067
2.108874,4,12.615283
2.135953,4,12.729302
2.20358,4,12.843155
2.321379,4,12.957472
2.246014,4,13.070747
1.789154,4,13.189427
1.616454,4,13.323151
1.696035,4,13.44919
2.293579,4,13.567959
2.19035,4,13.684715
2.38196,4,13.793941
2.150866,4,13.892506
2.578343,4,14.000012
2.043982,4,14.101046
2.47757,4,14.203496
2.091521,4,14.300031
2.187147,4,14.394691
1.916471,4,14.484134
2.233416,4,14.577855
2.081036,4,14.681974
2.156192,4,14.785653
2.150727,4,14.882859
2.118912,4,14.977887
1.832304,4,15.070543
2.071397,4,15.174564
1.738341,4,15.272729
1.992397,4,15.369014
2.212853,4,15.489385
2.525773,4,15.593551
2.273929,4,15.688048
2.046838,4,15.783739
2.398534,4,15.876853
1.94564,4,15.972089
1.683781,4,16.066957
1.761637,4,16.168645
2.031351,4,16.282439
2.083354,4,16.386162
2.544813,4,16.482512
2.295989,4,16.578712
2.247291,4,16.674251
2.306955,4,16.770582
2.17643,4,16.866827
2.018834,4,16.972492
2.359688,4,17.079654
1.785251,4,17.177228
1.848165,4,17.27254
2.164732,4,17.367918
2.515906,4,17.468088
2.348884,4,17.562808
2.278097,4,17.666997
2.480325,4,17.789289
2.282842,4,17.883998
2.144132,4,18.351243
2.305931,4,18.464153
2.573706,4,18.557811
2.463745,4,18.653486
2.164912,4,18.746325
2.260627,4,18.841431
2.500222,4,18.934934
2.50606,4,19.02893
2.115663,4,19.164958
2.33472,4,19.272089
2.260399,4,19.372918
1.949453,4,19.470583
2.424442,4,19.565941
1.963225,4,19.662783
2.197152,4,19.760551
2.389753,4,19.865499
2.175597,4,19.997153
2.583467,4,20.096686
1.913668,4,20.198097
2.306405,4,20.295073
2.231534,4,20.393166
2.005514,4,20.488926
2.100213,4,20.584638
2.292754,4,20.710762
2.278049,4,20.829019
2.329104,4,20.929955
2.041906,4,21.027527
2.365267,4,21.125174
2.114354,4,21.223992
1.854393,4,21.319019
1.541738,4,21.415633
2.020853,4,21.548172
2.236595,4,21.655673
2.440711,4,21.755032
2.059338,4,21.850941
2.393447,4,21.957948
2.099757,4,22.058905
2.58125,4,22.159912
2.42785,4,22.261308
2.594454,4,22.397202
2.743435,4,22.501012
2.538826,4,22.605407
2.037692,4,22.699946
2.454001,4,22.794105
2.478009,4,22.88841
2.368962,4,22.98167
1.958412,4,23.092022
2.435833,4,23.221845
1.810289,4,23.318068
2.037405,4,23.412641
1.595228,4,23.506998
2.077963,4,23.602685
2.430512,4,23.699724
2.591507,4,23.796454
2.345693,4,23.903759
1.983964,4,24.03808
2.431534,4,24.136376
2.577589,4,24.23348
2.475638,4,24.329788
2.686482,4,24.425391
2.200645,4,24.522791
2.572895,4,24.618763
2.016075,4,24.727971
2.497245,4,24.859251
2.410402,4,24.961155
2.212697,4,25.05629
2.571287,4,25.152509
2.366093,4,25.249381
2.242201,4,25.347242
2.355215,4,25.442573
2.535262,4,25.560888
2.476427,4,25.684295
2.609626,4,25.78524
2.473045,4,25.881962
2.461266,4,25.977323
2.145532,4,26.073326
2.200436,4,26.16954
2.073344,4,26.265634
2.77112,4,26.427788
2.081649,4,31.350279
2.087568,4,36.091229
1.99375,4,40.656004
0.410251,4,45.367434
0.483658,4,50.530262
0.445953,4,55.068774
0.387784,4,59.607739
0.48216,4,64.844739
0.402773,4,69.693307
0.423316,4,74.45948
0.446121,4,79.510988
0.474829,4,84.207788
0.383052,4,88.551383
0.352095,4,93.153938
0.468986,4,97.769363
0.242392,4,102.413055
0.453919,4,107.384244
0.545014,4,112.046118
0.475355,4,116.989093
0.515625,4,121.562353
0.362411,4,126.12243
0.431906,4,130.710216
0.362383,4,135.257406
0.5,4,139.817322
0.473951,4,144.384624
0.413209,4,148.938391
0.473302,4,153.500537
0.349416,4,158.066399
0.547411,4,162.798964
0.404446,4,167.648026
0.39725,4,172.300429
0.497719,4,177.168482
0.384397,4,182.243924
0.388228,4,186.980993
0.35184,4,191.52858
0.395081,4,196.158926
0.441283,4,200.692934
0.385982,4,205.281103
0.301833,4,209.820476
0.432388,4,214.392042
0.376986,4,218.968531
0.397512,4,223.898306
0.361213,4,229.183259
0.416357,4,234.356545
0.420344,4,239.559266
0.419798,4,244.413796
0.298295,4,249.1517
0.348197,4,253.924351
0.452987,4,258.964697
0.378943,4,263.944386
0.389773,4,268.723556
0.342272,4,273.44022
0.453436,4,278.119634
0.397623,4,282.780427
0.501671,4,287.488901
0.369863,4,292.270846
0.39658,4,296.987477
0.359707,4,301.812927
0.424969,4,306.403741
0.403568,4,311.250106
0.527083,4,315.958471
0.519764,4,321.025971
0.486735,4,325.670163
0.551447,4,330.281511
0.41149,4,334.868648
0.350957,4,339.439694
0.492991,4,344.040356
0.521937,4,348.598596
0.316575,4,353.198074
0.32426,4,358.135666
0.364259,4,362.631523
0.398696,4,367.204733
0.457391,4,371.782128
0.406787,4,376.371964
0.530113,4,380.899213
0.376421,4,385.469706
0.467916,4,390.051383
0.377495,4,394.59741
0.349635,4,399.172794
